frame_index,timestamp,ok,tx,ty,tz,rx,ry,rz,num_markers
20,2025-12-14T22:31:11.744420,True,-0.566988,-0.470729,3.106969,-0.754012,0.084579,0.405638,4
21,2025-12-14T22:31:11.845061,True,-0.566403,-0.472310,3.118849,-0.773254,0.079143,0.399346,5
22,2025-12-14T22:31:11.944536,True,-0.548807,-0.461159,3.080637,-0.766153,0.008262,0.275501,6
23,2025-12-14T22:31:12.044305,True,-0.555085,-0.470690,3.106427,-0.953476,0.161734,0.568912,6
24,2025-12-14T22:31:12.144986,True,-0.544351,-0.463012,3.070742,-0.687198,-0.204229,0.295184,7
25,2025-12-14T22:31:12.244649,True,-0.550026,-0.467790,3.089099,-0.805903,-0.011977,0.469322,6
26,2025-12-14T22:31:12.344353,True,-0.536408,-0.456217,3.044761,-0.734516,0.065482,0.302735,6
27,2025-12-14T22:31:12.443102,True,-0.544035,-0.462082,3.053408,-0.709420,0.078206,0.390674,5
28,2025-12-14T22:31:12.544604,True,-0.536494,-0.458934,3.063079,-0.761085,0.070020,0.304593,7
29,2025-12-14T22:31:12.644342,True,-0.543707,-0.476345,3.104444,-1.116704,-0.179521,0.425436,4
30,2025-12-14T22:31:12.744996,True,-0.540674,-0.477785,3.113632,-1.252879,0.118200,0.607857,3
31,2025-12-14T22:31:12.845320,True,-0.532691,-0.475689,3.096844,-1.123368,-0.196127,0.420444,3
32,2025-12-14T22:31:12.944042,True,-0.534279,-0.468096,3.093713,-0.780419,0.093554,0.408729,4
33,2025-12-14T22:31:13.044453,True,-0.526895,-0.467168,3.080989,-0.825416,-0.028222,0.496096,5
34,2025-12-14T22:31:13.144870,True,-0.525283,-0.463448,3.062897,-0.734832,0.082724,0.440096,4
35,2025-12-14T22:31:13.243985,True,-0.524230,-0.467492,3.081119,-0.758158,-0.342571,0.242268,6
36,2025-12-14T22:31:13.343008,True,-0.516941,-0.458174,3.037708,-0.701206,0.081831,0.409711,6
37,2025-12-14T22:31:13.445163,True,-0.515170,-0.456995,3.037010,-0.699840,0.079422,0.428740,4
38,2025-12-14T22:31:13.542822,True,-0.506341,-0.454259,3.020068,-0.633689,-0.012556,0.457745,6
39,2025-12-14T22:31:13.644306,True,-0.506341,-0.454259,3.020068,-0.633689,-0.012556,0.457745,6
40,2025-12-14T22:31:13.743070,True,-0.497246,-0.456042,2.994014,-1.209395,-0.389461,0.683795,6
41,2025-12-14T22:31:13.844485,True,-0.505279,-0.448966,3.003780,-0.803509,0.041634,0.478907,7
42,2025-12-14T22:31:13.945899,True,-0.494815,-0.439357,2.979017,-0.679657,-0.240242,0.353874,6
43,2025-12-14T22:31:14.044143,True,-0.501746,-0.442271,2.990973,-0.790404,-0.049672,0.518760,6
44,2025-12-14T22:31:14.144336,True,-0.491223,-0.442807,2.960632,-1.131289,-0.455626,0.647434,4
45,2025-12-14T22:31:14.244316,True,-0.498857,-0.437013,2.966689,-0.787053,-0.045968,0.534064,6
46,2025-12-14T22:31:14.344059,True,-0.501120,-0.435024,2.975844,-0.716618,-0.131832,0.421734,6
47,2025-12-14T22:31:14.444449,True,-0.504162,-0.438886,2.987715,-0.870139,-0.104728,0.536792,5
48,2025-12-14T22:31:14.545333,True,-0.494595,-0.439753,2.960858,-1.331211,-0.188161,0.745988,5
49,2025-12-14T22:31:14.644545,True,-0.507987,-0.439433,2.994083,-0.684131,-0.042116,0.546210,5
50,2025-12-14T22:31:14.744681,True,-0.506011,-0.434921,2.965668,-0.775037,-0.075788,0.536622,6
51,2025-12-14T22:31:14.845834,True,-0.503568,-0.433871,2.956588,-0.630432,-0.072604,0.529016,6
52,2025-12-14T22:31:14.944057,True,-0.510126,-0.438114,2.979251,-0.725896,-0.021702,0.522206,7
53,2025-12-14T22:31:15.042032,True,-0.516459,-0.439868,3.001916,-0.861174,-0.140430,0.543288,6
54,2025-12-14T22:31:15.145550,True,-0.518252,-0.445839,3.012178,-1.244051,0.043727,0.605775,4
55,2025-12-14T22:31:15.245718,True,-0.522031,-0.445742,3.014699,-1.268518,0.064963,0.609987,4
56,2025-12-14T22:31:15.345031,True,-0.548501,-0.475985,3.104854,-1.081075,-1.196777,1.561300,2
57,2025-12-14T22:31:15.444699,True,-0.549443,-0.497580,3.182390,-0.286828,-2.409484,1.102427,1
58,2025-12-14T22:31:15.542856,True,-0.537664,-0.446804,3.029285,-1.186880,0.079362,0.595066,3
59,2025-12-14T22:31:15.641271,True,-0.535411,-0.431069,2.969871,-0.949786,-0.381376,0.339259,6
60,2025-12-14T22:31:15.744337,True,-0.535411,-0.431069,2.969871,-0.949786,-0.381376,0.339259,6
61,2025-12-14T22:31:15.844105,True,-0.526569,-0.425607,2.937565,-0.671074,-0.340184,0.304745,7
62,2025-12-14T22:31:15.945145,True,-0.531285,-0.430863,2.947179,-0.948341,0.005770,0.494330,6
63,2025-12-14T22:31:16.043947,True,-0.532577,-0.425657,2.949132,-0.764857,-0.172017,0.400658,7
64,2025-12-14T22:31:16.143587,True,-0.542227,-0.429679,2.960290,-0.949667,-0.382927,0.351856,6
65,2025-12-14T22:31:16.243541,True,-0.540355,-0.428861,2.968682,-0.782499,-0.184099,0.400997,7
66,2025-12-14T22:31:16.343096,True,-0.545460,-0.431539,2.985994,-0.874828,-0.525137,0.198622,6
67,2025-12-14T22:31:16.441697,True,-0.543165,-0.427409,2.959407,-0.830491,-0.510845,0.196959,7
68,2025-12-14T22:31:16.544652,True,-0.546907,-0.431455,2.964892,-0.824078,-0.104362,0.580621,6
69,2025-12-14T22:31:16.641648,True,-0.545336,-0.429377,2.969945,-0.852750,-0.051145,0.492754,7
70,2025-12-14T22:31:16.742271,True,-0.553615,-0.428708,2.954277,-0.769186,0.097127,0.414784,5
71,2025-12-14T22:31:16.845393,True,-0.551656,-0.441235,2.997416,-1.234818,-0.350314,0.773757,5
72,2025-12-14T22:31:16.944574,True,-0.551656,-0.441235,2.997416,-1.234818,-0.350314,0.773757,5
